"id","domain","title","main_category","sub_category","delegation","whois","soa","records","insert_time"
"13255","sjtu.edu.cn","上海交通大学中文主页门户网站","科研教育","高校门户",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13256","chinatax.gov.cn","国家税务总局","政府组织","税务系统",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13257","tsinghua.edu.cn","清华大学","科研教育","高校门户",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13258","www.gov.cn","中国政府网_中央人民政府门户网站","政府组织","中央政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13259","conac.cn","政务和公益机构域名注册管理中心","政府组织","政务服务",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13260","neu.edu.cn","东北大学","科研教育","高校门户",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13261","miit.gov.cn","中华人民共和国工业和信息化部","政府组织","中央政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13262","zj.gov.cn","浙江省人民政府","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13263","court.gov.cn","首页 - 中华人民共和国最高人民法院","政府组织","法院系统",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13264","gd.gov.cn","广东省人民政府门户网站","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13265","jszwfw.gov.cn","江苏政务服务","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13266","beijing.gov.cn","北京市人民政府门户网站","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13267","sh.gov.cn","上海市人民政府","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13268","henan.gov.cn","河南省人民政府门户网站","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13269","gdzwfw.gov.cn","广东政务服务网","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13270","shandong.gov.cn","山东省人民政府","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13271","cnipa.gov.cn","国家知识产权局","政府组织","中央政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13272","beian.gov.cn","全国互联网安全管理平台","政府组织","公安机关",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13273","ustc.edu.cn","中国科学技术大学","科研教育","高校门户",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13274","zjzwfw.gov.cn","浙江政务服务网","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13275","stats.gov.cn","国家统计局","政府组织","中央政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13276","ccgp.gov.cn","中国政府采购网","政府组织","政府采购",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13277","hunan.gov.cn","欢迎光临湖南省人民政府门户网站","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13278","mohurd.gov.cn","中华人民共和国住房和城乡建设部","政府组织","中央政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13279","nmg.gov.cn","内蒙古自治区人民政府","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13280","hlj.gov.cn","黑龙江省人民政府","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
"13281","fujian.gov.cn","福建省人民政府门户网站","政府组织","地方政府",\N,\N,\N,\N,"2025-08-06 15:47:44"
